About,Sobre,
Active,Ativo,
Alert Email,E-mail de Alerta,
Attempt Count,Contagem de Tentativas,
Billable,Faturável,
Business ID,ID do Negócio,
Captured At,Capturado Em,
Channel,Canal,
Circuit State,Situação do Circuito,
Closed,Fechado,
Company,Empresa,
Consecutive Failures,Falhas Consecutivas,
Conversation,Conversa,
Conversation ID,ID da Conversa,
Conversation Origin,Origem da Conversa,
Cooldown Seconds,Segundos de Espera,
Cost Amount,Valor do Custo,
Currency,Moeda,
Delete Demo Data,Excluir Dados de Demonstração,
Delivered,Entregue,
Direction,Direção,
Disabled,Desativado,
Display Phone Number,Número de Telefone Exibido,
Draft,Rascunho,
Embedded Signup,Cadastro Incorporado,
Embedded Signup (reserved for WA-2),Cadastro Incorporado (reservado para WA-2),
Embedded Signup Token,Token do Cadastro Incorporado,
Error Message,Mensagem de Erro,
Event Timestamp,Data/Hora do Evento,
Failed,Falhou,
Failure Threshold,Limite de Falhas,
Frappe Support,Suporte Frappe,
Free text (not a Link to Company) for the same reason as WhatsApp Account above.,Texto livre (não é um Vínculo com Empresa) pelo mesmo motivo da Conta WhatsApp acima.,
Gateway is not configured (missing meta_app_secret),O gateway não está configurado (meta_app_secret ausente),
HTTP Status Code,Código de Situação HTTP,
Half-Open,Meio-Aberto,
Inbound,Entrada,
Internal Shared Secret,Segredo Interno Compartilhado,
Invalid internal secret,Segredo interno inválido,
Invalid webhook signature,Assinatura do webhook inválida,
Is Active,Está Ativo,
Keyboard Shortcuts,Atalhos de Teclado,
Last Success At,Último Sucesso Em,
Manual,Manual,
Meta App Secret,Segredo do App Meta,
Meta Verify Token,Token de Verificação da Meta,
"Name of the linked frappe_whatsapp ""WhatsApp Account"" record (kept as plain text, not a Link, so this doctype has no hard dependency on frappe_whatsapp being installed on every site that has takion_whatsapp — e.g. the gateway site).","Nome do registro ""Conta WhatsApp"" vinculado do frappe_whatsapp (mantido como texto simples, não um Vínculo, para este tipo de documento não depender do frappe_whatsapp estar instalado em todo site que tenha o takion_whatsapp — ex: o site do gateway).",
"Name of the linked frappe_whatsapp ""WhatsApp Message"" record (kept as plain text, not a Link, so this doctype has no hard dependency on frappe_whatsapp being installed on every site that has takion_whatsapp — e.g. the gateway site).","Nome do registro ""Mensagem WhatsApp"" vinculado do frappe_whatsapp (mantido como texto simples, não um Vínculo, para este tipo de documento não depender do frappe_whatsapp estar instalado em todo site que tenha o takion_whatsapp — ex: o site do gateway).",
Notes,Observações,
Onboarded By,Cadastrado Por,
Onboarded On,Cadastrado Em,
Onboarding Source,Origem do Cadastro,
Open,Aberto,
Opened At,Aberto Em,
Outbound,Saída,
Pending Registration,Cadastro Pendente,
Phone Number ID,ID do Número de Telefone,
Pricing Category,Categoria de Preço,
Pricing Type,Tipo de Preço,
Raw Payload,Payload Bruto,
Raw Pricing JSON,JSON de Preço Bruto,
Skipped - Circuit Open,Ignorado - Circuito Aberto,
Status,Situação,
Suspended,Suspenso,
System Health,Saúde do Sistema,
System Manager,Gerente do sistema,
Takion WhatsApp,Takion WhatsApp,
Tenant Site URL,URL do Site do Cliente,
Unknown channel,Canal desconhecido,
Verification token mismatch,Token de verificação não confere,
WABA ID,ID da WABA,
WhatsApp Account,Conta WhatsApp,
WhatsApp Channel,Canal WhatsApp,
WhatsApp Channel Registry,Registro de Canais WhatsApp,
WhatsApp Gateway Delivery Log,Log de Entrega do Gateway WhatsApp,
WhatsApp Gateway Settings,Configurações do Gateway WhatsApp,
WhatsApp Message,Mensagem WhatsApp,
WhatsApp Message Cost,Custo de Mensagem WhatsApp,
